ISO3_origen,ISO3_destino,anio,cantidad
ASM,UGA,1960,0
ASM,UKR,1960,0
ASM,ARE,1960,0
ASM,GBR,1960,2
ASM,USA,1960,2519
ASM,URY,1960,0
ASM,UZB,1960,0
ASM,VUT,1960,2
ASM,VEN,1960,0
ASM,VNM,1960,0
ASM,VIR,1960,0
ASM,VGB,1960,0
ASM,WLF,1960,0
ASM,PSE,1960,0
ASM,YEM,1960,3
ASM,ZMB,1960,0
ASM,ZWE,1960,0
AND,AFG,1960,0
AND,ALB,1960,0
AND,DZA,1960,1
AND,ASM,1960,0
AND,AND,1960,0
AND,AGO,1960,1
AND,AIA,1960,0
AND,ATG,1960,0
AND,ARG,1960,0
AND,ARM,1960,0
AND,ABW,1960,0
AND,AUS,1960,0
AND,AUT,1960,2
AND,AZE,1960,0
AND,BHS,1960,0
AND,BHR,1960,0
AND,BGD,1960,0
AND,BRB,1960,0
AND,BLR,1960,0
AND,BEL,1960,2
AND,BLZ,1960,0
AND,BEN,1960,0
AND,BMU,1960,0
AND,BTN,1960,0
AND,BOL,1960,0
AND,BIH,1960,0
AND,BWA,1960,0
AND,BRA,1960,0
AND,BRN,1960,0
AND,BGR,1960,0
AND,BFA,1960,0
AND,BDI,1960,0
AND,KHM,1960,0
AND,CMR,1960,0
AND,CAN,1960,17
AND,CPV,1960,0
AND,CYM,1960,0
AND,CAF,1960,0
AND,TCD,1960,0
AND,CHI,1960,0
AND,CHL,1960,4
AND,CHN,1960,0
AND,COL,1960,0
AND,COM,1960,0
AND,COD,1960,0
AND,COG,1960,0
AND,COK,1960,0
AND,CRI,1960,0
AND,CIV,1960,0
AND,HRV,1960,0
AND,CUB,1960,0
AND,CYP,1960,0
AND,CZE,1960,0
AND,DNK,1960,2
AND,DJI,1960,0
AND,DMA,1960,0
AND,DOM,1960,0
AND,ECU,1960,0
AND,EGY,1960,0
AND,SLV,1960,0
AND,GNQ,1960,0
AND,ERI,1960,0
AND,EST,1960,0
AND,ETH,1960,0
AND,FRO,1960,0
AND,FLK,1960,0
AND,FJI,1960,0
AND,FIN,1960,0
AND,FRA,1960,233
AND,GUF,1960,0
AND,PYF,1960,0
AND,GAB,1960,0
AND,GMB,1960,0
AND,GEO,1960,0
AND,DEU,1960,7
AND,GHA,1960,0
AND,GIB,1960,0
AND,GRC,1960,0
AND,GRL,1960,0
AND,GRD,1960,0
AND,GLP,1960,0
AND,GUM,1960,0
AND,GTM,1960,0
AND,GIN,1960,0
AND,GNB,1960,0
AND,GUY,1960,0
AND,HTI,1960,0
AND,HND,1960,0
AND,HKG,1960,0
AND,HUN,1960,14
AND,ISL,1960,0
AND,IND,1960,0
AND,IDN,1960,0
AND,IRN,1960,0
AND,IRQ,1960,0
AND,IRL,1960,0
AND,IMN,1960,0
AND,ISR,1960,0
AND,ITA,1960,20
AND,JAM,1960,0
AND,JPN,1960,0
AND,JOR,1960,0
AND,KAZ,1960,0
AND,KEN,1960,0
AND,KIR,1960,0
AND,PRK,1960,0
AND,KOR,1960,0
AND,XKX,1960,0
AND,KWT,1960,0
AND,KGZ,1960,0
AND,LAO,1960,0
AND,LVA,1960,0
AND,LBN,1960,0
AND,LSO,1960,0
AND,LBR,1960,0
AND,LBY,1960,0
AND,LIE,1960,0
AND,LTU,1960,0
AND,LUX,1960,0
AND,MAC,1960,0
AND,MKD,1960,0
AND,MDG,1960,0
AND,MWI,1960,0
AND,MYS,1960,0
AND,MDV,1960,0
AND,MLI,1960,0
AND,MLT,1960,0
AND,MHL,1960,0
AND,MTQ,1960,0
AND,MRT,1960,0
AND,MUS,1960,0
AND,MYT,1960,0
AND,MEX,1960,0
AND,FSM,1960,0
AND,MDA,1960,0
AND,MCO,1960,0
AND,MNG,1960,0
AND,MNE,1960,0
AND,MSR,1960,0
AND,MAR,1960,0
AND,MOZ,1960,0
AND,MMR,1960,0
AND,NAM,1960,0
AND,NRU,1960,0
AND,NPL,1960,0
AND,NLD,1960,15
AND,ANT,1960,0
AND,NCL,1960,0
AND,NZL,1960,0
AND,NIC,1960,0
AND,NER,1960,0
AND,NGA,1960,0
AND,NIU,1960,0
AND,NFK,1960,0
AND,MNP,1960,0
